V1,time_stamp,validity_1,validity_2,validity_3,validity_4,validity_5,validity_r_1,validity_r_2,validity_r_3,validity_r_4,validity_r_5,gaze_left_1,gaze_left_2,gaze_left_3,gaze_right_1,gaze_right_2,gaze_right_3, gaze_origin_left_1, gaze_origin_left_2, gaze_origin_left_3,gaze_origin_right_1, gaze_origin_right_2, gaze_origin_right_3,convergence_validity,convergence_distance,pupil_diameter,pupil_diameter_r,eye_open,eye_open_r,time,v1_head,v2,x,y,z,qw,qx,qy,qz
3753401,1578642389105115,1,1,1,1,0,1,1,1,1,0,-0.01885986,0.29277039,0.95599365,-0.03881836,0.30526733,0.95146179,32.4947052,1.47540283,-29.60462952,-26.65388489,2.3455658,-23.19494629,0,0.0,3.37174988,3.37174988,1.0,1.0,1578642389115686,252282579703, HMD, -0.10635, 1.21064, 0.39589, 0.06119, 0.00784, 0.98118, -0.18297
3753401,1578642389109125,1,1,1,1,0,1,1,1,1,0,-0.01885986,0.29277039,0.95599365,-0.03881836,0.30526733,0.95146179,32.4947052,1.47540283,-29.60462952,-26.65388489,2.3455658,-23.19494629,0,0.0,3.37174988,3.37174988,1.0,1.0,1578642389115686,252282579703, HMD, -0.10635, 1.21064, 0.39589, 0.06119, 0.00784, 0.98118, -0.18297
3753410,1578642389114104,1,1,1,1,0,1,1,1,1,0,-0.0246582,0.29827881,0.95414734,-0.03790283,0.29885864,0.95353699,32.52267456,1.47540283,-29.73284912,-26.64877319,2.33943176,-23.19494629,0,0.0,3.34487915,3.34487915,1.0,1.0,1578642389115686,252282579703, HMD, -0.10635, 1.21064, 0.39589, 0.06119, 0.00784, 0.98118, -0.18297
3753410,1578642389118123,1,1,1,1,0,1,1,1,1,0,-0.0246582,0.29827881,0.95414734,-0.03790283,0.29885864,0.95353699,32.52267456,1.47540283,-29.73284912,-26.64877319,2.33943176,-23.19494629,0,0.0,3.34487915,3.34487915,1.0,1.0,1578642389118060,252282603447, HMD, -0.10630, 1.21068, 0.39596, 0.06126, 0.00800, 0.98114, -0.18314
3753418,1578642389122091,1,1,1,1,0,1,1,1,1,0,-0.02496338,0.28636169,0.95777893,-0.03620911,0.29553223,0.95463562,32.52859497,1.47540283,-29.73316956,-26.64526367,2.33680725,-23.19436646,0,0.0,3.32460022,3.32460022,1.0,1.0,1578642389119959,252282622436, HMD, -0.10625, 1.21071, 0.39602, 0.06131, 0.00812, 0.98112, -0.18327
3753418,1578642389127085,1,1,1,1,0,1,1,1,1,0,-0.02523804,0.28831482,0.9571991,-0.03567505,0.30183411,0.9526825,32.5335083,1.47540283,-29.77410889,-26.6449585,2.30958557,-23.19436646,0,0.0,3.30845642,3.30845642,1.0,1.0,1578642389132323,252282746093, HMD, -0.10593, 1.21084, 0.39637, 0.06158, 0.00897, 0.98093, -0.18414
3753426,1578642389131103,1,1,1,1,0,1,1,1,1,0,-0.02523804,0.28831482,0.9571991,-0.03567505,0.30183411,0.9526825,32.5335083,1.47540283,-29.77410889,-26.6449585,2.30958557,-23.19436646,0,0.0,3.30845642,3.30845642,1.0,1.0,1578642389132323,252282746093, HMD, -0.10593, 1.21084, 0.39637, 0.06158, 0.00897, 0.98093, -0.18414
3753426,1578642389134966,1,1,1,1,0,1,1,1,1,0,-0.02523804,0.28831482,0.9571991,-0.03567505,0.30183411,0.9526825,32.5335083,1.47540283,-29.77410889,-26.6449585,2.30958557,-23.19436646,0,0.0,3.30845642,3.30845642,1.0,1.0,1578642389134973,252282772575, HMD, -0.10589, 1.21087, 0.39646, 0.06162, 0.00918, 0.98089, -0.18431
3753435,1578642389138828,1,1,1,1,0,1,1,1,1,0,-0.02574158,0.2959137,0.9548645,-0.0368042,0.30049133,0.95306396,32.53631592,1.4776001,-29.92907715,-26.63908386,2.30299377,-23.15003967,0,0.0,3.26728821,3.26728821,1.0,1.0,1578642389137125,252282794101, HMD, -0.10585, 1.21090, 0.39652, 0.06165, 0.00932, 0.98086, -0.18444
3753435,1578642389142825,1,1,1,1,0,1,1,1,1,0,-0.02574158,0.2959137,0.9548645,-0.0368042,0.30049133,0.95306396,32.53631592,1.4776001,-29.92907715,-26.63908386,2.30299377,-23.15003967,0,0.0,3.26728821,3.26728821,1.0,1.0,1578642389137125,252282794101, HMD, -0.10585, 1.21090, 0.39652, 0.06165, 0.00932, 0.98086, -0.18444
